Bb,Pr,Ge,Sn
Ar,Sn,Ge,Bu
Cb,Sn,Ge,Bu
Ps,RE,Sn,Hi
Ar,Ge,Sp,En
Fr,Sn,Ge,Ar
Hi,RE,Sp,Sn
Ar,Hi,Ge,Co
Ps,Hi,Py,Sn
Hi,Fr,Ec,Ge
Hi,Ho,Py,Sn
Sc,Sn,Ec,Hi
Sc,Fr,Hi,Dr
Cb,Sn,Ge,Ps
Ge,Sn,Sp,En
Hi,Sn,Sp,Dr
Ge,RE,Mu,Hi
Sc,Sn,Ge,Bb
Bu,Hi,Sp,Sn
Sc,Hi,Fr,Ge
Ps,Sn,Hi,Ar
Hi,RE,Sp,Dr
Cb,Hi,Sn,Bu
Sc,Ge,Sn,Bu
Bu,So,Fr,Hi
Fr,So,RE,Ge
Cb,Pr,Ge,Sn
Bu,Ge,Py,Sn
Fr,Hi,Ec,Ge
Sp,RE,Ec,Ge
Bu,Ge,Sp,En
Sc,En,Ge,Ar
Ar,Ge,Mu,Bu
Ps,Hi,Py,Sn
Sp,En,Bb
Ps,RE,Hc,Hi
Sp,Hi,RE,Bb
Sp,RE,Py,Ge
Co,Ge,Sp,Sn
Ar,So,Ge,Ps
Sc,Sn,Sp,Hi
Hi,Fr,RE,Dr
Ar,Fr,Hi,Ps
Ps,RE,Hc,Hi
Bu,Hi,Sp,Sn
Sp,Hi,Ge,Sn
Sc,Ge,Py,Sn
Fr,Pr,Hi,Ps
Fr,Hi,RE,Ps
Bu,Hi,Sp,En
Bb,Pr,Mu,Ge
Ps,RE,Ge,Sn
Sc,Hi,Fr,Ps
Sp,RE,Ge,Bu
Bu,Ge,Fr,Co
Sc,Sn,Sp,Hi
Ge,Sn,Sp,Bb
Co,En,Ec,Bu
Sp,So,RE,Ge
Hi,RE,Sn,Ar
Cb,Ge,Py,Ps
Bu,Fr,Hi,Ge
Ar,Sn,Ge,Dr
Co,Hi,Ge
Fr,Pr,Py,Bu
Ge,Hi,Sp,Bb
Bu,Ge,Sp,Sn
Ps,Fr,Hc,Bb
Ge,Sn,Mu,Bu
Ps,Fr,RE,Hi
Ge,Ho,Sp,En
Bu,Pr,Sp,Ge
Bu,Fr,Hi,Ar
Cb,Hi,Sn,Bu
Sc,Sn,Hi,Ar
Ge,Sn,Sp,En
Sp,En,Ge,Bu
Sc,Hi,Sn,Ar
Sc,Sn,Ge,Dr
Hi,En,Py
Ps,Ge,Sp,Sn
Bu,Pr,Hi,Sn
Cb,Ho,Fr,Ge
Bb,Sn,Ge,En
Sp,Ho,Sn,Dr
Bu,RE,Hi,Ar
Bu,Hi,Sp,En
